nom_journal,abreviation,issn,editeur
Acta Crystallographica,Acta Cryst.,2059-7983,International Union of Crystallography
American Journal of Human Genetics,Amer. J. Hum. Genet.,0002-9297,American Society of Human Genetics
Bioinformatics,Bioinformatics,1367-4803,Oxford University Press
Computers in Biology and Medicine,Comp. Biol. Med.,0010-4825,Elsevier
Genetics,Genetics,0016-6731,Genetics Society of America
Journal of Computational Biology,J. Comput. Biol.,1066-5277,Mary Ann Liebert
Journal of Molecular Biology,J. Mol. Biol.,0022-2836,Academic Press
Nature,Nature,0028-0836,Nature Publishing Group
Nucleic Acids Research,Nucl. Acids Res.,0305-1048,Oxford University Press
Philosophical Transactions of the Royal Society of London B: Biological Sciences,Phil. Trans. R. Soc. Lon. B,0962-8436,Royal Society
Proceedings of the National Academy of Sciences of the United States of America,Proc. Natl. Acad. Sci. USA,0027-8424,National Academy of Sciences
Science,Science,0036-8075,American Association for the Advancement of Science
